Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
YZReach,1574269859825,72088,744,SUCCESS,72088,d071431231534f0eae65dcb584dec06a
AccenturePerth,1573713972425,72491,745,SUCCESS,72491,e5fd40bdae314ef3bbd19123a3b9dadd
charles1017,1573624358797,72501,746,SUCCESS,72501,101ffa6b4988409d8e06dbf81d7f14aa
Govindh007,1573743097280,72558,747,SUCCESS,72558,0b7dc96f985e4ecea504af8af6947c96
Paras,1573149763509,72572,748,SUCCESS,72572,0ea286d0203441bc8f2099085901995a
TESTAAA,1573789585458,72881,749,SUCCESS,72881,2b6c96e957064b2b8dc832320e39bec3
Popotte,1574092931957,72976,750,SUCCESS,72976,a517293e17764b91a1d6e2fc26817f9c
louie,1573702425703,73005,751,SUCCESS,73005,d412401372874ed199008312d7f35803
Bella-Dhaza,1574150392927,73043,752,SUCCESS,73043,4ed6ffc05ba94c7490fe0719723605c9
DeathTrap,1573717283118,73047,753,SUCCESS,73047,a1f21d7e907a4f2fa0c512c85ad1099a
ap,1574293853025,73053,754,SUCCESS,73053,a6347173065e40a9ab65f23854297394
bellchris,1574888298189,73054,755,SUCCESS,73054,f6a29f48b4714c39ab0b3dffd16d99ad
raidthehimalayas,1573434716419,73205,756,SUCCESS,73205,0a03acb0b2054784b721fefd3d04f148
Benjamin,1573798507896,73218,757,SUCCESS,73218,2d300ed777954ec2a2fd16a2c8cf027b
nitishdhar,1573426263749,73342,758,SUCCESS,73342,12db06696aaa40e284a49c7bf38421cd
Sairam,1573782391225,73537,759,SUCCESS,73537,7378237cf7a046b1a857c411cbd37711
adf,1574066048889,73542,760,SUCCESS,73542,cb4c1b4410274974b160f69428c00d55
EddieJordan,1574354362350,73573,761,SUCCESS,73573,b2e8144590b447789b545f69ee350e4b
KenAtkins9,1574469787645,73589,762,SUCCESS,73589,e54b36fdcd5b4ffaa263267472c576ce
MyModel,1573835224368,73632,763,SUCCESS,73632,04d4feab88eb41f8bb4bab2ec845ecdf
Persephone,1573883184787,73640,764,SUCCESS,73640,96519c07bc9c407d9d8af404bc9d579d
SpeedyJohn,1573645677229,73667,765,SUCCESS,73667,0cde5fc2abc24de0991e6ea4c0719417
HerbieBH,1573817445637,73709,766,SUCCESS,73709,78b2d80167c84683b35367d4c7ab62d9
AndyK,1574980698861,73712,767,SUCCESS,73712,d38e1566b3f24911853abfe64520116c
glen,1574404850246,73782,768,SUCCESS,73782,4196f4e076b345cba1fb29c284e904eb
MindRacers,1573222777012,73785,769,SUCCESS,73785,ee6e709309dd40319d398453e62d913e
tropical-snow,1573048236743,73841,770,SUCCESS,73841,e194019e536948bf96176fb859f0f85c
KyleisFast,1574104003721,73850,771,SUCCESS,73850,e9ab88d3574d45ae8e2dc76db3e565a1
Terminator,1574188002344,73853,772,SUCCESS,73853,b65b9e02906e435bad2b5d937c709b52
Melwyn,1574392906338,73902,773,SUCCESS,73902,acb85db2eb3a4a2ea121b9652cd3669c
TechLetics,1573633639554,73925,774,SUCCESS,73925,964949f486f44e29ba6902c4b0a6ca63
bquintas,1573773025630,73958,775,SUCCESS,73958,8010c44e8b2545bdb663a6fea3554fce
IronMan,1573633313536,74025,776,SUCCESS,74025,f9db55c0f1794b2baa2c7c5b306be022
sofast,1573753691510,74107,777,SUCCESS,74107,eiqKzv0_Rw2aBwvxmOx8xw
GhostRider007,1574830950060,74149,778,SUCCESS,74149,04368f4418f145a5ac365a6765591535
COSMOS,1574125724192,74212,779,SUCCESS,74212,2aaa7c3736bc46c0aa8527d61ced7a2d
Accelerate-AI,1573614040796,74308,780,SUCCESS,74308,24b8ce7d65c2488981b86e174fc90ca5
Technophile,1572987279868,74334,781,SUCCESS,74334,052bd9d315534560823858c31c6b1fe8
LeoAtAWS,1574587202744,74385,782,SUCCESS,74385,e26b549f3ca742e697be774cfe636286
manho,1573450064474,74403,783,SUCCESS,74403,83c0df557c1042529065e33a34c41237
PalAVictor,1573705454088,74476,784,SUCCESS,74476,4ad72e8b402f45d281bed1b952bd88fe
Van,1574377094764,74652,785,SUCCESS,74652,e24b3d2ce2964f0bb14277057d4832b5
MajidBlackCar,1574106810627,74671,786,SUCCESS,74671,3192515d496e4f4faff3e040287582cd
DarshanTest,1575118301354,74707,787,SUCCESS,74707,bb381e44de864b27bbd41d5a05356579
stephiejs13,1573085937113,74712,788,SUCCESS,74712,88eb341ad63e4a93a2f6c96819c9f14b
vksc,1573101422587,74791,789,SUCCESS,74791,7ae05697111248679faad8b2fa58d71f
masakitter,1574917896912,74906,790,SUCCESS,74906,bbe1ed5c442a40ab85aa92c37dad2987
Shingo,1575018506893,74986,791,SUCCESS,74986,66107930684c47fb910263e7ef78da97
ssasdasdasdafawf,1574486027607,74994,792,SUCCESS,74994,c1cf42f69fb54a158995aad8affc9d99
vWolverine,1573541809257,75125,793,SUCCESS,75125,7e40d1b521fe42de9d1d6cad54e864ca
atang8013,1574267352280,75202,794,SUCCESS,75202,9877656ffc234c4ab3e0f9bd6f9c1d08
First-Model-For-Desert,1574444410638,75862,795,SUCCESS,75862,18e7b14bbad5416a947e76f5cbf920ac
believe,1575109786217,75878,796,SUCCESS,75878,af73328f28a14ff08705a68c0567930e
KubaCz,1575039614266,76344,797,SUCCESS,76344,39cd1359b4a549cfbd4075dc825f7f97
VijayTeam,1573044718375,76862,798,SUCCESS,76862,e373d445fd94467b9acfa5787777fdae
jthompsonw21,1575145286426,77103,799,SUCCESS,77103,aeddebe2e41247748980e1bb029ebf86
Sample-prevent-zig-zag-test,1574103797116,77728,800,SUCCESS,77728,563a57ec15a1430880e39c20ecc5473b
geeks-racer,1573209049392,77816,801,SUCCESS,77816,fd785796c4184500a821b825b6bf6efa
Ben,1573078416185,78556,802,SUCCESS,78556,494c8a20c64c4b3a83aca216157cbb5f
test001,1574667035110,78564,803,SUCCESS,78564,a671a1afbacf4a6783f3509f90428616
ansh,1573802054717,82218,804,SUCCESS,82218,5bd93417d6db445dad708694b48b9238
Lyro,1573081933452,82809,805,SUCCESS,82809,2db68b7fb0cc4a4ab342587d3b1d5bff
yk55,1574234376253,83834,806,SUCCESS,83834,7f6bb8fb548646a4b48b4564ca13cda9
www,1574956437616,84699,807,SUCCESS,84699,82a264232f9d442db0d5b61954a44235
GarenMonkaS,1573668830450,86998,808,SUCCESS,86998,10b166f20d3f42179b89ca1520757349
