Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JaimeAndreSalas,1602721161944,3,126537,124856,379612,4.666666666666667,0,14,14,1,1069,SUCCESS,379612
Astro-Ravi,1601540191946,3,126944,114964,380833,9.333333333333334,0,28,28,3,1070,SUCCESS,380833
speed-racer-DG,1602724043904,3,126993,122246,380980,7.0,0,21,21,1,1071,SUCCESS,380980
MG,1601521645117,3,127059,113966,381179,2.0,0,6,6,1,1072,SUCCESS,381179
DhirajAMishra,1603787829120,3,127227,115662,381681,6.666666666666667,0,20,20,1,1073,SUCCESS,381681
Group-85,1603109851367,3,127249,120527,381749,9.333333333333334,0,28,28,6,1074,SUCCESS,381749
Neves,1602603695468,3,127260,120394,381782,4.666666666666667,0,14,14,2,1075,SUCCESS,381782
Blitz7,1603641989567,3,127305,119681,381916,5.333333333333333,0,16,16,1,1076,SUCCESS,381916
1337racer,1602538801647,3,127326,123042,381978,8.0,0,24,24,1,1077,SUCCESS,381978
cars3,1604048980849,3,127331,118730,381995,4.666666666666667,0,14,14,2,1078,SUCCESS,381995
ATR,1603062211324,3,127399,120525,382197,16.333333333333332,0,49,49,1,1079,SUCCESS,382197
AmardTestRace,1603399884347,3,127634,114660,382904,17.333333333333332,0,52,52,3,1080,SUCCESS,382904
RedSnowFox,1601929435618,3,127663,124607,382990,8.333333333333334,0,25,25,1,1081,SUCCESS,382990
ThisIsTestOnly,1601547574721,3,127680,114211,383040,17.333333333333332,0,52,52,4,1082,SUCCESS,383040
dheeraj-khati,1603196356650,3,127817,113571,383453,9.666666666666666,0,29,29,2,1083,SUCCESS,383453
DukeBlue89,1602713299266,3,127844,123859,383534,4.666666666666667,0,14,14,2,1084,SUCCESS,383534
1Group13,1602070959816,3,127889,122938,383667,3.6666666666666665,0,11,11,3,1085,SUCCESS,383667
ppillai-007,1603904695873,3,127990,118862,383970,11.333333333333334,0,34,34,1,1086,SUCCESS,383970
SuDarsh,1603860147421,3,128187,112848,384562,7.666666666666667,0,23,23,3,1087,SUCCESS,384562
dreamteam,1602158017869,3,128285,111579,384856,6.666666666666667,0,20,20,1,1088,SUCCESS,384856
Group149,1601970050606,3,128612,113478,385836,17.666666666666668,0,53,53,4,1089,SUCCESS,385836
