Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
SpeedyM1,1604091189140,3,100190,90135,300570,1.6666666666666667,0,5,5,4,705,SUCCESS,300570,-Fo2aiJZTaG-PN1pLIOE3A,
beano2913,1603818185633,3,100241,96579,300724,1.0,0,3,3,10,706,SUCCESS,300724,CtG7f9TDQo-zXrkUjVUDeQ,
vitr,1601808621090,3,100246,87867,300739,9.333333333333334,0,28,28,1,707,SUCCESS,300739,f0zZJk-JQKmiHpiKVV-YmA,
poojagupte,1602612974653,3,100307,88667,300923,1.6666666666666667,0,5,5,1,708,SUCCESS,300923,OtWeOWNASGePKLZrkn-GaQ,
atouteberzingue,1601662489409,3,100358,85593,301075,11.666666666666666,0,35,35,1,709,SUCCESS,301075,8rGCph2rS9uk-H4kVkyalg,DeepRacer-Business
Devang-DRL,1603438730224,3,100434,90997,301304,1.6666666666666667,0,5,5,4,710,SUCCESS,301304,dQEPqjAAREOuUI6NLgpugQ,
MaheshGellaboina,1602742732778,3,100483,96652,301449,0.6666666666666666,0,2,2,6,711,SUCCESS,301449,UkV2gqtJQ96VbibWi6cHYw,
davids-stroud,1602170466271,3,100496,92946,301490,1.3333333333333333,0,4,4,2,712,SUCCESS,301490,df66f9972b5f4ea285bfcw,
Otaboroid,1602745461318,3,100506,95402,301520,11.666666666666666,0,35,35,39,713,SUCCESS,301520,UZOXxzgqTEq-U_FlPY-vGQ,
Group66,1602084587602,3,100509,94799,301528,8.0,0,24,24,12,714,SUCCESS,301528,VS-GkoDuR9OH9Ls5vVumAA,
Mike-Impellizzeri-Berwyn,1603137947836,3,100560,87035,301680,4.0,0,12,12,1,715,SUCCESS,301680,ZDF6-2TZTk2djHyMcQ54Ng,
ASC0691,1603789851980,3,100603,93136,301810,1.3333333333333333,0,4,4,4,716,SUCCESS,301810,-uRsOD-NSs2Vh55x1asqEg,
Group33-racer,1603184092550,3,100654,91126,301963,7.0,0,21,21,4,717,SUCCESS,301963,qMGb4UxlQlyWbKT7Yz93TA,
kifo-batmobile-v1,1601787579264,3,100687,94655,302062,3.3333333333333335,0,10,10,4,718,SUCCESS,302062,SOTH2NCvQz-k83CyHt1rFQ,
Windy-City-Warriors,1601966973277,3,100687,96317,302062,9.333333333333334,0,28,28,7,719,SUCCESS,302062,vXz-XOpiTzCWnjS53qTWMA,
sai96,1603779011941,3,100725,97034,302177,1.6666666666666667,0,5,5,1,720,SUCCESS,302177,-4JCicwLR-aEh525R4EIew,
Tommy,1601936144979,3,100834,88167,302503,11.666666666666666,0,35,35,42,721,SUCCESS,302503,-wKNG878Qr6SEm0RifKHwA,
JPMC-London-Adam,1602509416392,3,100883,82407,302649,6.666666666666667,0,20,20,1,722,SUCCESS,302649,MKyQktY7RcKa36uMHbmmJQ,
DKSTDeepRacerACN,1604088473368,3,100884,94639,302654,2.3333333333333335,0,7,7,7,723,SUCCESS,302654,IM9jK5WcQKOR191A762mPg,
Vreddy,1603913838946,3,101056,95314,303168,2.0,0,6,6,1,724,SUCCESS,303168,6xafiO6BS-aH82_hyyh5zg,
JPMC-BMTH-LightningMcDream,1603448898311,3,101155,94816,303467,12.333333333333334,0,37,37,13,725,SUCCESS,303467,A4724nyYRPSlfEM4-dPp9Q,
Abhishekasvicky,1603726328285,3,101160,98859,303482,2.6666666666666665,0,8,8,3,726,SUCCESS,303482,ZO48pd5mRCyHVniOJoDboQ,
MateuszB,1602974449208,3,101199,98203,303599,0.6666666666666666,0,2,2,2,727,SUCCESS,303599,q9oIL9CjRBS-ijMsUc6cXQ,
chethanthegreat,1602978349930,3,101313,91267,303939,6.0,0,18,18,2,728,SUCCESS,303939,eyLqrFcrTv2LVVDSsCiHng,
bruceole,1604180764731,3,101339,96120,304017,1.0,0,3,3,1,729,SUCCESS,304017,HGCP0WxpSJul2y0QqKcFEg,
DeepRacer-Match5-PF,1601606450077,3,101359,95678,304078,4.333333333333333,0,13,13,1,730,SUCCESS,304078,4SvI-tYWQ-GFbdqIrpQqkg,
thenewleague,1604085007866,3,101373,100122,304121,0.0,0,0,0,4,731,SUCCESS,304121,8y1uMWf3TRyIhrYDG268zw,
KaiquanMah,1604043646153,3,101378,97070,304135,1.6666666666666667,0,5,5,7,732,SUCCESS,304135,eE9JZEWQTV2uOp_YhqJ91w,
gioe78,1603617090771,3,101438,96204,304314,0.6666666666666666,0,2,2,2,733,SUCCESS,304314,tKhRwQ3hQVaOqKoFXE5ZaQ,
mattegab,1602953590305,3,101459,97926,304379,3.0,0,9,9,1,734,SUCCESS,304379,qPkodsNeT2KepmCrgNAmSQ,
sunil-h322459,1602731256483,3,101553,97200,304660,3.0,0,9,9,5,735,SUCCESS,304660,nYQr-cPuSjCx0pbB644lqA,
Trial1,1602938838612,3,101613,97400,304839,1.0,0,3,3,1,736,SUCCESS,304839,MX0TMRKbRQ6MXAUuWUo1oQ,
Sridhar-DeadSkullz,1603999464210,3,101613,94676,304840,2.6666666666666665,0,8,8,3,737,SUCCESS,304840,c8fW-gZGSce3n6h7tEQo1A,
ASDASD,1603908779993,3,101615,97913,304845,2.0,0,6,6,1,738,SUCCESS,304845,Lx1ZLUsqTWaO_dANAa_cuw,
lightning,1603517496740,3,101616,96190,304850,11.0,0,33,33,2,739,SUCCESS,304850,DHUWwKCeQpqNfdcizNzYgA,
