Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Ruddy,1598968498574,3,76567,74013,229702,7.333333333333333,8,14,22,20,65,SUCCESS,229702,Xok8O00YSeuAWvXTpG-YPg,
Deepak-dpk,1601506784256,3,77750,56264,233250,8.666666666666666,5,21,26,36,66,SUCCESS,233250,gDTBFK77TM6wD6uObZlulA,
think,1600517086059,3,77797,65191,233391,6.333333333333333,5,14,19,2676,67,SUCCESS,233391,IHHC4YftQLaMAs0VyXFJzw,
GoGo-Avocardo-2,1600685275459,3,78586,72906,235760,3.0,9,0,9,2,68,SUCCESS,235760,0uvVK_m6QJaQ3r0lY7XbhA,Accenture
Smiles93,1600623950309,3,79267,73197,237802,4.333333333333333,13,0,13,1,69,SUCCESS,237802,ZQh09nrpQCmztIynuKW9bw,DBS
Smiky,1601498487278,3,81661,62604,244985,8.333333333333334,10,15,25,5,70,SUCCESS,244985,O5lagojuQy25zL4OSPyTVA,
mis5-deepracer,1601033422420,3,84161,74558,252485,4.333333333333333,8,5,13,9,71,SUCCESS,252485,9JgCJqHwRDicj5tX0tURNg,
Jozef-Mak,1601497625952,3,85026,73141,255080,10.0,3,27,30,4,72,SUCCESS,255080,ADtIv73CS7SUDypuGuW-jA,
YMZK-DENSO,1599619829462,3,85639,68103,256917,10.0,13,17,30,1,73,SUCCESS,256917,recf4re8RCusZsfmkza94w,
Rakesh-Arumalla,1599011923153,3,88609,77265,265827,6.0,8,10,18,2,74,SUCCESS,265827,agzUTeeLS8GvRr8Ge5JpJA,
